STUSPS,right_bound,bottom_bound,left_bound,top_bound
AK,-128.1,52.9,-173.1,72.5
AL,0,0,0,0
AR,0,0,0,0
AZ,0,0,0,0
CA,0,0,0,0
CO,0,0,0,0
CT,0,0,0,0
DC,0,0,0,0
DE,0,0,0,0
FL,0,0,0,0
GA,0,0,0,0
HI,0,0,0,0
IA,0,0,0,0
ID,0,0,0,0
IL,-87,36.5,-92,43
IN,0,0,0,0
KS,-94,36,-103,41
KY,0,0,0,0
LA,0,0,0,0
MA,0,0,0,0
MD,0,0,0,0
ME,0,0,0,0
MI,0,0,0,0
MN,0,0,0,0
MO,-88.5,35,-96.5,41.1
MS,0,0,0,0
MT,0,0,0,0
NC,0,0,0,0
ND,0,0,0,0
NE,0,0,0,0
NH,0,0,0,0
NJ,0,0,0,0
NM,0,0,0,0
NV,0,0,0,0
NY,0,0,0,0
OH,0,0,0,0
OK,0,0,0,0
OR,-116,41.5,-125,46.5
PA,0,0,0,0
RI,0,0,0,0
SC,0,0,0,0
SD,0,0,0,0
TN,0,0,0,0
TX,0,0,0,0
UT,0,0,0,0
VA,0,0,0,0
VT,0,0,0,0
WA,0,0,0,0
WI,0,0,0,0
WV,0,0,0,0
WY,0,0,0,0
